epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2135,3.29912,4.26876,4.09486,0.00171,0.18464,0.0022,0.00055,3.51322,4.10522,4.30385,0.000550615,0.000550615,0.000550615
2,55.1485,2.98575,3.80032,3.50221,0.07771,0.09248,0.0174,0.00405,2.85045,4.64059,3.33548,0.00109533,0.00109533,0.00109533
3,81.8461,2.78982,3.5331,3.21103,0.02225,0.04886,0.00702,0.00162,nan,nan,nan,0.00162904,0.00162904,0.00162904
4,108.46,2.73611,3.44518,3.11107,0.04314,0.0518,0.01796,0.0048,2.69714,4.33309,3.07665,0.00161749,0.00161749,0.00161749
5,135.386,2.66712,3.36396,3.04173,0.04883,0.15031,0.05015,0.01234,2.72503,3.29475,3.02632,0.00160099,0.00160099,0.00160099
6,162.068,2.5592,3.23885,2.95101,0.08658,0.18685,0.0574,0.01358,2.5779,3.38727,3.02501,0.00158448,0.00158448,0.00158448
7,188.865,2.53629,3.13691,2.8832,0.12617,0.19265,0.0724,0.01962,2.50116,2.92548,2.88007,0.00156798,0.00156798,0.00156798
8,215.857,2.48231,3.10953,2.83257,0.13768,0.14967,0.06503,0.01865,2.465,3.23887,2.92348,0.00155148,0.00155148,0.00155148
9,242.63,2.40469,2.99236,2.77169,0.19459,0.12288,0.08514,0.02396,2.42116,3.07754,2.88582,0.00153497,0.00153497,0.00153497
10,269.573,2.40704,2.97294,2.76754,0.1668,0.13333,0.08796,0.02526,2.43503,2.99107,2.82938,0.00151847,0.00151847,0.00151847
11,296.458,2.35519,2.92917,2.70445,0.1975,0.15605,0.09997,0.03144,2.4496,3.17876,2.84777,0.00150197,0.00150197,0.00150197
12,323.347,2.33375,2.86158,2.69371,0.1666,0.24837,0.1109,0.0345,2.3288,3.07559,2.79184,0.00148546,0.00148546,0.00148546
13,350.347,2.32139,2.8527,2.68749,0.20881,0.22712,0.11051,0.03627,2.32252,2.8885,2.79481,0.00146896,0.00146896,0.00146896
14,377.278,2.28608,2.8082,2.65708,0.2697,0.26095,0.1772,0.05523,2.30937,2.70362,2.7358,0.00145246,0.00145246,0.00145246
15,404.15,2.2857,2.7689,2.65773,0.19856,0.12206,0.08667,0.02653,2.37802,3.14909,2.9141,0.00143595,0.00143595,0.00143595
16,431.059,2.263,2.72708,2.65182,0.20069,0.23464,0.15116,0.05196,2.24954,2.73607,2.7322,0.00141945,0.00141945,0.00141945
