epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.027,3.39764,4.641,4.19613,0.51039,0.0144,0.00399,0.00081,3.16658,4.01451,4.02772,0.00332825,0.00332825,0.00332825
2,296.789,2.8711,3.81176,3.42353,0.17245,0.08243,0.02895,0.00816,2.70978,3.32507,3.07088,0.00659564,0.00659564,0.00659564
3,440.104,2.40095,3.125,2.7862,0.15,0.14674,0.0827,0.02594,2.5325,3.13332,2.78182,0.00979702,0.00979702,0.00979702
4,582.652,2.19949,2.83575,2.51476,0.22444,0.24873,0.15793,0.05792,2.31519,2.73103,2.48335,0.009703,0.009703,0.009703
5,725.399,2.07645,2.6336,2.35335,0.27411,0.27954,0.20613,0.07666,2.19692,2.64985,2.37259,0.009604,0.009604,0.009604
6,868.229,2.00487,2.50242,2.25797,0.31599,0.31583,0.24494,0.0896,2.17145,2.49999,2.27253,0.009505,0.009505,0.009505
7,1010.72,1.97084,2.39411,2.20076,0.31751,0.35599,0.27915,0.10685,2.106,2.3898,2.29912,0.009406,0.009406,0.009406
8,1153.75,1.9195,2.31253,2.1504,0.39938,0.34705,0.31983,0.11701,2.09248,2.22474,2.19688,0.009307,0.009307,0.009307
9,1295.98,1.89537,2.22684,2.12325,0.44035,0.43234,0.3825,0.15204,2.05604,2.04398,2.13121,0.009208,0.009208,0.009208
10,1438.75,1.86655,2.15932,2.07862,0.41647,0.43126,0.38163,0.15932,1.98878,2.00467,2.09125,0.009109,0.009109,0.009109
11,1581.44,1.83769,2.12605,2.05069,0.41501,0.44642,0.40336,0.16601,1.93424,1.95738,2.07811,0.00901,0.00901,0.00901
12,1723.97,1.82146,2.08189,2.03772,0.49458,0.46336,0.44425,0.18239,1.93916,1.93678,2.06382,0.008911,0.008911,0.008911
13,1866.75,1.80504,2.03523,2.01589,0.4931,0.48154,0.46018,0.19712,1.93673,1.87393,2.01791,0.008812,0.008812,0.008812
14,2009.49,1.77829,2.00309,1.99344,0.56217,0.46424,0.47856,0.20009,1.92332,1.82181,2.01806,0.008713,0.008713,0.008713
15,2151.88,1.76823,1.95135,1.9751,0.5003,0.51336,0.48344,0.19904,1.9187,1.77236,2.01848,0.008614,0.008614,0.008614
16,2294.45,1.74625,1.91462,1.95298,0.53933,0.53596,0.51164,0.22268,1.88287,1.73051,1.95896,0.008515,0.008515,0.008515
17,2437.38,1.74059,1.8789,1.93799,0.55527,0.55132,0.53267,0.23086,1.86197,1.68702,1.92838,0.008416,0.008416,0.008416
18,2580.19,1.72224,1.86132,1.92928,0.52971,0.54565,0.52356,0.23451,1.84621,1.64578,1.93164,0.008317,0.008317,0.008317
19,2722.72,1.72226,1.85372,1.91754,0.57205,0.57929,0.56181,0.24907,1.82311,1.64581,1.90383,0.008218,0.008218,0.008218
20,2865.11,1.70482,1.82765,1.90286,0.55167,0.54862,0.53621,0.2412,1.83947,1.61766,1.92992,0.008119,0.008119,0.008119
21,3007.41,1.69769,1.80068,1.88836,0.54964,0.58528,0.55204,0.25197,1.81221,1.54483,1.87557,0.00802,0.00802,0.00802
22,3149.43,1.68007,1.77447,1.87386,0.56348,0.58416,0.55757,0.25796,1.83916,1.53919,1.89096,0.007921,0.007921,0.007921
23,3291.9,1.67948,1.75954,1.87136,0.59517,0.6025,0.58825,0.27133,1.794,1.50123,1.8539,0.007822,0.007822,0.007822
24,3434.28,1.66615,1.72676,1.86265,0.58515,0.59449,0.57949,0.27301,1.7843,1.51496,1.85623,0.007723,0.007723,0.007723
25,3576.47,1.66531,1.73912,1.85439,0.59611,0.62537,0.59725,0.28241,1.74999,1.50609,1.81677,0.007624,0.007624,0.007624
26,3718.86,1.65767,1.70136,1.85425,0.60251,0.6135,0.59626,0.2835,1.76358,1.46785,1.83337,0.007525,0.007525,0.007525
27,3860.86,1.64797,1.68426,1.83386,0.59886,0.62301,0.59797,0.28141,1.76514,1.44729,1.819,0.007426,0.007426,0.007426
28,4003.06,1.64229,1.67668,1.8248,0.59546,0.62631,0.60328,0.28687,1.74812,1.43581,1.81989,0.007327,0.007327,0.007327
29,4145.22,1.63119,1.65428,1.81509,0.62143,0.64927,0.60697,0.29758,1.75036,1.41253,1.81787,0.007228,0.007228,0.007228
30,4287.89,1.62972,1.6363,1.80247,0.63667,0.65205,0.64093,0.31128,1.7319,1.38434,1.77528,0.007129,0.007129,0.007129
31,4430.56,1.62154,1.61821,1.8076,0.62518,0.64504,0.63457,0.30701,1.73902,1.36746,1.80006,0.00703,0.00703,0.00703
32,4572.53,1.61736,1.59833,1.7871,0.66438,0.6419,0.65585,0.31343,1.73415,1.34876,1.76917,0.006931,0.006931,0.006931
33,4714.47,1.61079,1.57613,1.77964,0.65057,0.6476,0.65211,0.31884,1.73651,1.33452,1.77656,0.006832,0.006832,0.006832
34,4856.59,1.60674,1.57026,1.77839,0.6427,0.66274,0.65919,0.3232,1.70418,1.30468,1.74256,0.006733,0.006733,0.006733
35,4999.08,1.61024,1.57449,1.7765,0.65525,0.65584,0.65811,0.3228,1.72095,1.30675,1.76712,0.006634,0.006634,0.006634
36,5141.57,1.58137,1.54568,1.74882,0.65413,0.65684,0.6603,0.32721,1.68741,1.30051,1.73453,0.006535,0.006535,0.006535
37,5283.63,1.58788,1.54654,1.75521,0.65383,0.66506,0.66344,0.3271,1.68596,1.29876,1.72945,0.006436,0.006436,0.006436
38,5426.57,1.58133,1.53632,1.75131,0.64561,0.68634,0.67134,0.33441,1.69104,1.26084,1.73827,0.006337,0.006337,0.006337
39,5569.17,1.57765,1.52353,1.74924,0.66889,0.66846,0.67458,0.3364,1.68972,1.27271,1.73315,0.006238,0.006238,0.006238
40,5710.78,1.5705,1.49343,1.73261,0.64974,0.67612,0.67047,0.33671,1.70711,1.26524,1.73677,0.006139,0.006139,0.006139
41,5852.94,1.56619,1.48258,1.73839,0.67785,0.65997,0.68492,0.34692,1.66953,1.22538,1.71904,0.00604,0.00604,0.00604
42,5994.99,1.55772,1.47866,1.7248,0.67136,0.679,0.68361,0.34154,1.68513,1.21991,1.71194,0.005941,0.005941,0.005941
43,6136.96,1.55337,1.45546,1.72082,0.67261,0.68768,0.69235,0.34905,1.67478,1.21841,1.71134,0.005842,0.005842,0.005842
44,6278.88,1.55565,1.46513,1.70991,0.69881,0.67354,0.69869,0.35191,1.6624,1.21993,1.70146,0.005743,0.005743,0.005743
45,6420.77,1.53833,1.44149,1.70906,0.68772,0.68196,0.69972,0.35341,1.67021,1.19412,1.70146,0.005644,0.005644,0.005644
46,6563.4,1.54409,1.43719,1.70803,0.67908,0.69855,0.70118,0.35591,1.6689,1.19285,1.69671,0.005545,0.005545,0.005545
47,6706.45,1.53852,1.43004,1.69524,0.69939,0.68702,0.70676,0.35822,1.67116,1.18237,1.70036,0.005446,0.005446,0.005446
48,6848.92,1.54712,1.43808,1.70419,0.70174,0.69838,0.70879,0.3578,1.66743,1.17292,1.7035,0.005347,0.005347,0.005347
49,6991.06,1.52975,1.39921,1.68769,0.70723,0.69425,0.7058,0.35881,1.6483,1.1647,1.68784,0.005248,0.005248,0.005248
50,7132.89,1.5278,1.40339,1.6902,0.72595,0.67668,0.71031,0.36358,1.65014,1.1675,1.68681,0.005149,0.005149,0.005149
51,7275.32,1.52647,1.40811,1.68389,0.68367,0.70532,0.71214,0.36516,1.65115,1.15963,1.68328,0.00505,0.00505,0.00505
52,7417.18,1.51971,1.39091,1.67703,0.69082,0.70124,0.72401,0.37533,1.63879,1.1454,1.6702,0.004951,0.004951,0.004951
53,7559.09,1.51415,1.38865,1.6767,0.70939,0.68746,0.72001,0.37206,1.65092,1.13449,1.68424,0.004852,0.004852,0.004852
54,7701.55,1.51104,1.36854,1.67237,0.7417,0.6884,0.71975,0.37072,1.63905,1.13136,1.67469,0.004753,0.004753,0.004753
55,7843.91,1.49833,1.3459,1.65988,0.71158,0.70374,0.72268,0.37373,1.64303,1.12851,1.6806,0.004654,0.004654,0.004654
56,7987.54,1.51027,1.35253,1.66571,0.71261,0.70471,0.73856,0.37669,1.64362,1.1084,1.67566,0.004555,0.004555,0.004555
57,8130.7,1.49296,1.33002,1.65307,0.69852,0.73251,0.7331,0.37662,1.64256,1.1018,1.67454,0.004456,0.004456,0.004456
58,8273.13,1.48257,1.32084,1.64273,0.72768,0.71136,0.73459,0.37944,1.6427,1.09192,1.6758,0.004357,0.004357,0.004357
59,8415.82,1.48939,1.32958,1.64451,0.73437,0.71095,0.73471,0.37914,1.64242,1.09338,1.67365,0.004258,0.004258,0.004258
60,8558.5,1.47275,1.31386,1.6339,0.74185,0.70598,0.74064,0.38187,1.63818,1.09504,1.66597,0.004159,0.004159,0.004159
61,8701.34,1.4786,1.31823,1.63491,0.73432,0.71914,0.74349,0.3799,1.6358,1.0898,1.66519,0.00406,0.00406,0.00406
62,8843.66,1.475,1.29907,1.63403,0.72844,0.72213,0.74184,0.38202,1.6412,1.08442,1.67015,0.003961,0.003961,0.003961
63,8986.26,1.47192,1.2877,1.62364,0.71913,0.6963,0.73887,0.38386,1.63046,1.08078,1.6575,0.003862,0.003862,0.003862
64,9128.69,1.46843,1.28282,1.62627,0.72394,0.71429,0.74082,0.38786,1.62587,1.07547,1.65402,0.003763,0.003763,0.003763
65,9271.04,1.46531,1.27993,1.625,0.72621,0.71014,0.74656,0.386,1.62847,1.06682,1.65507,0.003664,0.003664,0.003664
66,9413.77,1.45145,1.27004,1.61542,0.71943,0.72321,0.74534,0.3854,1.62627,1.06336,1.65523,0.003565,0.003565,0.003565
67,9556.51,1.45341,1.25833,1.60845,0.73069,0.7291,0.74726,0.38577,1.62936,1.06311,1.65718,0.003466,0.003466,0.003466
68,9699.16,1.45872,1.25719,1.61179,0.74028,0.72099,0.74957,0.38881,1.62547,1.05437,1.65044,0.003367,0.003367,0.003367
69,9841.63,1.44146,1.24647,1.60122,0.74932,0.71585,0.75504,0.39095,1.62895,1.0574,1.6532,0.003268,0.003268,0.003268
70,9984.21,1.44466,1.23691,1.6019,0.75758,0.70454,0.75597,0.39375,1.62476,1.05571,1.65248,0.003169,0.003169,0.003169
71,10127,1.44636,1.22554,1.59588,0.76577,0.70848,0.75354,0.3917,1.62717,1.05413,1.65253,0.00307,0.00307,0.00307
72,10269.5,1.43334,1.21847,1.58901,0.7711,0.70784,0.75572,0.39241,1.63006,1.04676,1.65258,0.002971,0.002971,0.002971
73,10412.2,1.42392,1.21862,1.58542,0.75734,0.71281,0.75508,0.39031,1.63274,1.04491,1.65343,0.002872,0.002872,0.002872
74,10554.8,1.43204,1.2086,1.58539,0.75886,0.71869,0.75286,0.39205,1.63288,1.03726,1.65383,0.002773,0.002773,0.002773
75,10698.1,1.42479,1.2031,1.57704,0.75364,0.71226,0.75322,0.39242,1.63156,1.03349,1.65418,0.002674,0.002674,0.002674
76,10841,1.41432,1.19619,1.57335,0.74976,0.72175,0.75966,0.39516,1.62969,1.02726,1.65178,0.002575,0.002575,0.002575
77,10983.7,1.40907,1.17401,1.56679,0.7513,0.72269,0.76126,0.39636,1.62757,1.01749,1.64868,0.002476,0.002476,0.002476
78,11126.6,1.40657,1.17546,1.56823,0.7608,0.72575,0.76255,0.39482,1.62665,1.01453,1.64865,0.002377,0.002377,0.002377
